run_date,disease,state,year,cumulative_notifications
2026-03-25,COVID-19,NT,2026,119
2026-04-01,COVID-19,NT,2026,124
2026-04-08,COVID-19,NT,2026,130
2026-04-15,COVID-19,NT,2026,134
2026-04-22,COVID-19,NT,2026,141
2026-04-29,COVID-19,NT,2026,147
2026-05-06,COVID-19,NT,2026,156
2026-05-13,COVID-19,NT,2026,169
2026-05-20,COVID-19,NT,2026,179
2026-05-27,COVID-19,NT,2026,199
2026-06-03,COVID-19,NT,2026,208
2026-06-10,COVID-19,NT,2026,215
2026-06-17,COVID-19,NT,2026,228
2026-06-24,COVID-19,NT,2026,237
2026-07-01,COVID-19,NT,2026,240
2026-07-08,COVID-19,NT,2026,248
2026-07-15,COVID-19,NT,2026,252
2024-10-02,COVID-19,National,2024,274224
2024-10-09,COVID-19,National,2024,277436
2024-10-16,COVID-19,National,2024,281076
2024-10-23,COVID-19,National,2024,285111
2024-10-30,COVID-19,National,2024,288474
2024-11-06,COVID-19,National,2024,291839
2024-11-13,COVID-19,National,2024,295666
2024-11-20,COVID-19,National,2024,304790
2024-11-27,COVID-19,National,2024,310406
2024-12-04,COVID-19,National,2024,316200
2024-12-11,COVID-19,National,2024,322754
2024-12-18,COVID-19,National,2024,329406
2024-12-25,COVID-19,National,2024,336521
2025-01-02,COVID-19,National,2025,182
2025-01-08,COVID-19,National,2025,4656
2025-01-15,COVID-19,National,2025,10608
2025-01-22,COVID-19,National,2025,15317
2025-01-29,COVID-19,National,2025,18939
2025-02-05,COVID-19,National,2025,22595
2025-02-13,COVID-19,National,2025,26690
2025-02-19,COVID-19,National,2025,29060
2025-02-26,COVID-19,National,2025,33526
2025-03-05,COVID-19,National,2025,36828
2025-03-12,COVID-19,National,2025,39952
2025-03-19,COVID-19,National,2025,42811
2025-03-26,COVID-19,National,2025,45300
2025-04-02,COVID-19,National,2025,47643
2025-04-09,COVID-19,National,2025,50175
2025-04-16,COVID-19,National,2025,52350
2025-04-23,COVID-19,National,2025,53941
2025-04-30,COVID-19,National,2025,56354
2025-05-07,COVID-19,National,2025,58860
2025-05-14,COVID-19,National,2025,62015
2025-05-21,COVID-19,National,2025,66304
2025-05-28,COVID-19,National,2025,71764
2025-06-04,COVID-19,National,2025,77811
2025-06-11,COVID-19,National,2025,84864
2025-06-18,COVID-19,National,2025,92931
2025-06-25,COVID-19,National,2025,101409
2025-07-02,COVID-19,National,2025,108997
2025-07-09,COVID-19,National,2025,115117
2025-07-16,COVID-19,National,2025,121985
2025-07-23,COVID-19,National,2025,126053
2025-07-30,COVID-19,National,2025,131062
2025-08-06,COVID-19,National,2025,135585
2025-08-13,COVID-19,National,2025,139685
2025-08-20,COVID-19,National,2025,143648
2025-08-27,COVID-19,National,2025,147272
2025-09-03,COVID-19,National,2025,151287
2025-09-10,COVID-19,National,2025,154496
2025-09-17,COVID-19,National,2025,157493
2025-09-24,COVID-19,National,2025,159997
2025-10-01,COVID-19,National,2025,162101
2025-10-08,COVID-19,National,2025,163261
2025-10-15,COVID-19,National,2025,165184
2025-10-22,COVID-19,National,2025,166621
2025-10-29,COVID-19,National,2025,168196
2025-11-05,COVID-19,National,2025,169803
2025-11-12,COVID-19,National,2025,171669
2025-11-19,COVID-19,National,2025,173618
2025-11-26,COVID-19,National,2025,175568
2025-12-03,COVID-19,National,2025,177864
2025-12-10,COVID-19,National,2025,179745
2025-12-17,COVID-19,National,2025,181697
2025-12-24,COVID-19,National,2025,183707
2026-01-02,COVID-19,National,2026,12
2026-01-07,COVID-19,National,2026,937
2026-01-14,COVID-19,National,2026,2392
2026-01-21,COVID-19,National,2026,3681
2026-01-28,COVID-19,National,2026,4643
2026-02-04,COVID-19,National,2026,5953
2026-02-11,COVID-19,National,2026,7403
2026-02-18,COVID-19,National,2026,9184
2026-02-25,COVID-19,National,2026,11296
2026-03-04,COVID-19,National,2026,13527
2026-03-11,COVID-19,National,2026,15676
2026-03-18,COVID-19,National,2026,18007
2026-03-25,COVID-19,National,2026,20413
2026-04-01,COVID-19,National,2026,22745
2026-04-08,COVID-19,National,2026,24460
2026-04-15,COVID-19,National,2026,26480
2026-04-22,COVID-19,National,2026,28300
2026-04-29,COVID-19,National,2026,29805
2026-05-06,COVID-19,National,2026,31724
2026-05-13,COVID-19,National,2026,33537
2026-05-20,COVID-19,National,2026,35362
2026-05-27,COVID-19,National,2026,37641
2026-06-03,COVID-19,National,2026,39544
2026-06-10,COVID-19,National,2026,41587
2026-06-17,COVID-19,National,2026,43842
2026-06-24,COVID-19,National,2026,45987
2026-07-01,COVID-19,National,2026,47806
2026-07-08,COVID-19,National,2026,49920
2026-07-15,COVID-19,National,2026,52305
2024-10-02,COVID-19,QLD,2024,56391
2024-10-09,COVID-19,QLD,2024,56932
2024-10-16,COVID-19,QLD,2024,57637
2024-10-23,COVID-19,QLD,2024,58461
2024-10-30,COVID-19,QLD,2024,59280
2024-11-06,COVID-19,QLD,2024,60175
2024-11-13,COVID-19,QLD,2024,61125
2024-11-20,COVID-19,QLD,2024,62229
2024-11-27,COVID-19,QLD,2024,63423
2024-12-04,COVID-19,QLD,2024,64860
2024-12-11,COVID-19,QLD,2024,66970
2024-12-18,COVID-19,QLD,2024,69088
2024-12-25,COVID-19,QLD,2024,71193
2025-01-02,COVID-19,QLD,2025,126
2025-01-08,COVID-19,QLD,2025,1504
2025-01-15,COVID-19,QLD,2025,3124
2025-01-22,COVID-19,QLD,2025,4430
2025-01-29,COVID-19,QLD,2025,5444
2025-02-05,COVID-19,QLD,2025,6372
2025-02-13,COVID-19,QLD,2025,7444
2025-02-19,COVID-19,QLD,2025,8033
2025-02-26,COVID-19,QLD,2025,9176
2025-03-05,COVID-19,QLD,2025,9886
2025-03-12,COVID-19,QLD,2025,10350
2025-03-19,COVID-19,QLD,2025,10981
2025-03-26,COVID-19,QLD,2025,11456
2025-04-02,COVID-19,QLD,2025,12017
2025-04-09,COVID-19,QLD,2025,12529
2025-04-16,COVID-19,QLD,2025,12973
2025-04-23,COVID-19,QLD,2025,13289
2025-04-30,COVID-19,QLD,2025,13653
2025-05-07,COVID-19,QLD,2025,14048
2025-05-14,COVID-19,QLD,2025,14523
2025-05-21,COVID-19,QLD,2025,15118
2025-05-28,COVID-19,QLD,2025,15876
2025-06-04,COVID-19,QLD,2025,16885
2025-06-11,COVID-19,QLD,2025,17793
2025-06-18,COVID-19,QLD,2025,18930
2025-06-25,COVID-19,QLD,2025,20292
2025-07-02,COVID-19,QLD,2025,21536
2025-07-09,COVID-19,QLD,2025,22773
2025-07-16,COVID-19,QLD,2025,24063
2025-07-23,COVID-19,QLD,2025,25352
2025-07-30,COVID-19,QLD,2025,26478
2025-08-06,COVID-19,QLD,2025,27674
2025-08-13,COVID-19,QLD,2025,28821
2025-08-20,COVID-19,QLD,2025,29799
2025-08-27,COVID-19,QLD,2025,30840
2025-09-03,COVID-19,QLD,2025,31765
2025-09-10,COVID-19,QLD,2025,32531
2025-09-17,COVID-19,QLD,2025,33177
2025-09-24,COVID-19,QLD,2025,33655
2025-10-01,COVID-19,QLD,2025,34083
2025-10-08,COVID-19,QLD,2025,34365
2025-10-15,COVID-19,QLD,2025,34723
2025-10-22,COVID-19,QLD,2025,34969
2025-10-29,COVID-19,QLD,2025,35212
2025-11-05,COVID-19,QLD,2025,35487
2025-11-12,COVID-19,QLD,2025,35782
2025-11-19,COVID-19,QLD,2025,36094
2025-11-26,COVID-19,QLD,2025,36365
2025-12-03,COVID-19,QLD,2025,36656
2025-12-10,COVID-19,QLD,2025,36996
2025-12-17,COVID-19,QLD,2025,37383
2025-12-24,COVID-19,QLD,2025,37817
2026-01-02,COVID-19,QLD,2026,11
2026-01-07,COVID-19,QLD,2026,236
2026-01-14,COVID-19,QLD,2026,619
2026-01-21,COVID-19,QLD,2026,909
2026-01-28,COVID-19,QLD,2026,1212
2026-02-04,COVID-19,QLD,2026,1538
2026-02-11,COVID-19,QLD,2026,1918
2026-02-18,COVID-19,QLD,2026,2346
2026-02-25,COVID-19,QLD,2026,2887
2026-03-04,COVID-19,QLD,2026,3522
2026-03-11,COVID-19,QLD,2026,4152
2026-03-18,COVID-19,QLD,2026,4806
2026-03-25,COVID-19,QLD,2026,5534
2026-04-01,COVID-19,QLD,2026,6150
2026-04-08,COVID-19,QLD,2026,6576
2026-04-15,COVID-19,QLD,2026,7005
2026-04-22,COVID-19,QLD,2026,7363
2026-04-29,COVID-19,QLD,2026,7692
2026-05-06,COVID-19,QLD,2026,8006
2026-05-13,COVID-19,QLD,2026,8317
2026-05-20,COVID-19,QLD,2026,8574
2026-05-27,COVID-19,QLD,2026,8824
2026-06-03,COVID-19,QLD,2026,9078
2026-06-10,COVID-19,QLD,2026,9370
2026-06-17,COVID-19,QLD,2026,9637
2026-06-24,COVID-19,QLD,2026,9903
2026-07-01,COVID-19,QLD,2026,10145
2026-07-08,COVID-19,QLD,2026,10335
2026-07-15,COVID-19,QLD,2026,10588
2024-10-02,COVID-19,SA,2024,40228
2024-10-09,COVID-19,SA,2024,40382
2024-10-16,COVID-19,SA,2024,40591
2024-10-23,COVID-19,SA,2024,40817
2024-10-30,COVID-19,SA,2024,41088
2024-11-06,COVID-19,SA,2024,41383
2024-11-13,COVID-19,SA,2024,41655
2024-11-20,COVID-19,SA,2024,41979
2024-11-27,COVID-19,SA,2024,42352
2024-12-04,COVID-19,SA,2024,42624
2024-12-11,COVID-19,SA,2024,42868
2024-12-18,COVID-19,SA,2024,43230
2024-12-25,COVID-19,SA,2024,43654
2025-01-02,COVID-19,SA,2025,3
2025-01-08,COVID-19,SA,2025,309
2025-01-15,COVID-19,SA,2025,683
2025-01-22,COVID-19,SA,2025,964
2025-01-29,COVID-19,SA,2025,1162
2025-02-05,COVID-19,SA,2025,1341
2025-02-13,COVID-19,SA,2025,1578
2025-02-19,COVID-19,SA,2025,1739
2025-02-26,COVID-19,SA,2025,1945
2025-03-05,COVID-19,SA,2025,2131
2025-03-12,COVID-19,SA,2025,2372
2025-03-19,COVID-19,SA,2025,2480
2025-03-26,COVID-19,SA,2025,2658
2025-04-02,COVID-19,SA,2025,2805
2025-04-09,COVID-19,SA,2025,3017
2025-04-16,COVID-19,SA,2025,3234
2025-04-23,COVID-19,SA,2025,3395
2025-04-30,COVID-19,SA,2025,3558
2025-05-07,COVID-19,SA,2025,3736
2025-05-14,COVID-19,SA,2025,3941
2025-05-21,COVID-19,SA,2025,4221
2025-05-28,COVID-19,SA,2025,4622
2025-06-04,COVID-19,SA,2025,5091
2025-06-11,COVID-19,SA,2025,5517
2025-06-18,COVID-19,SA,2025,5994
2025-06-25,COVID-19,SA,2025,6456
2025-07-02,COVID-19,SA,2025,6872
2025-07-09,COVID-19,SA,2025,7219
2025-07-16,COVID-19,SA,2025,7571
2025-07-23,COVID-19,SA,2025,7826
2025-07-30,COVID-19,SA,2025,8061
2025-08-06,COVID-19,SA,2025,8306
2025-08-13,COVID-19,SA,2025,8558
2025-08-20,COVID-19,SA,2025,8781
2025-08-27,COVID-19,SA,2025,8974
2025-09-03,COVID-19,SA,2025,9217
2025-09-10,COVID-19,SA,2025,9404
2025-09-17,COVID-19,SA,2025,9577
2025-09-24,COVID-19,SA,2025,9749
2025-10-01,COVID-19,SA,2025,9916
2025-10-08,COVID-19,SA,2025,9989
2025-10-15,COVID-19,SA,2025,10088
2025-10-22,COVID-19,SA,2025,10184
